lat,lon,timezone,timezone_offset,data,City
45.4669,9.19,Europe/Rome,7200,"[{'dt': 1697148000, 'sunrise': 1697175358, 'sunset': 1697215373, 'temp': 19.14, 'feels_like': 19.15, 'pressure': 1021, 'humidity': 78, 'dew_point': 15.22, 'clouds': 0, 'visibility': 10000, 'wind_speed': 1.54, 'wind_deg': 300, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]}]",Milan
45.4669,9.19,Europe/Rome,7200,"[{'dt': 1697151600, 'sunrise': 1697175358, 'sunset': 1697215373, 'temp': 19.28, 'feels_like': 19.33, 'pressure': 1021, 'humidity': 79, 'dew_point': 15.55, 'clouds': 75, 'visibility': 10000, 'wind_speed': 2.06, 'wind_deg': 310, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]}]",Milan
45.4669,9.19,Europe/Rome,7200,"[{'dt': 1697155200, 'sunrise': 1697175358, 'sunset': 1697215373, 'temp': 19.25, 'feels_like': 19.29, 'pressure': 1021, 'humidity': 79, 'dew_point': 15.52, 'clouds': 75, 'visibility': 10000, 'wind_speed': 1.03, 'wind_deg': 0, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]}]",Milan
45.4669,9.19,Europe/Rome,7200,"[{'dt': 1697158800, 'sunrise': 1697175358, 'sunset': 1697215373, 'temp': 19.24, 'feels_like': 19.28, 'pressure': 1021, 'humidity': 79, 'dew_point': 15.51, 'clouds': 75, 'visibility': 10000, 'wind_speed': 1.54, 'wind_deg': 290, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]}]",Milan
45.4669,9.19,Europe/Rome,7200,"[{'dt': 1697162400, 'sunrise': 1697175358, 'sunset': 1697215373, 'temp': 19.14, 'feels_like': 19.2, 'pressure': 1020, 'humidity': 80, 'dew_point': 15.61, 'clouds': 75, 'visibility': 10000, 'wind_speed': 1.03, 'wind_deg': 0, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]}]",Milan
45.4669,9.19,Europe/Rome,7200,"[{'dt': 1697166000, 'sunrise': 1697175358, 'sunset': 1697215373, 'temp': 18.84, 'feels_like': 18.89, 'pressure': 1020, 'humidity': 81, 'dew_point': 15.51, 'clouds': 75, 'visibility': 10000, 'wind_speed': 1.03, 'wind_deg': 0, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]}]",Milan
45.4669,9.19,Europe/Rome,7200,"[{'dt': 1697169600, 'sunrise': 1697175358, 'sunset': 1697215373, 'temp': 18.76, 'feels_like': 18.83, 'pressure': 1020, 'humidity': 82, 'dew_point': 15.63, 'clouds': 75, 'visibility': 10000, 'wind_speed': 1.03, 'wind_deg': 0, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]}]",Milan
45.4669,9.19,Europe/Rome,7200,"[{'dt': 1697173200, 'sunrise': 1697175358, 'sunset': 1697215373, 'temp': 18.6, 'feels_like': 18.68, 'pressure': 1020, 'humidity': 83, 'dew_point': 15.66, 'clouds': 75, 'visibility': 10000, 'wind_speed': 1.03, 'wind_deg': 0, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]}]",Milan
45.4669,9.19,Europe/Rome,7200,"[{'dt': 1697176800, 'sunrise': 1697175358, 'sunset': 1697215373, 'temp': 18.6, 'feels_like': 18.71, 'pressure': 1021, 'humidity': 84, 'dew_point': 15.85, 'clouds': 75, 'visibility': 10000, 'wind_speed': 0.51, 'wind_deg': 0, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]}]",Milan
45.4669,9.19,Europe/Rome,7200,"[{'dt': 1697180400, 'sunrise': 1697175358, 'sunset': 1697215373, 'temp': 18.77, 'feels_like': 18.9, 'pressure': 1021, 'humidity': 84, 'dew_point': 16.01, 'clouds': 75, 'visibility': 10000, 'wind_speed': 1.03, 'wind_deg': 0, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]}]",Milan
45.4669,9.19,Europe/Rome,7200,"[{'dt': 1697184000, 'sunrise': 1697175358, 'sunset': 1697215373, 'temp': 19.71, 'feels_like': 19.85, 'pressure': 1022, 'humidity': 81, 'dew_point': 16.36, 'clouds': 75, 'visibility': 10000, 'wind_speed': 0.51, 'wind_deg': 0, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]}]",Milan
45.4669,9.19,Europe/Rome,7200,"[{'dt': 1697187600, 'sunrise': 1697175358, 'sunset': 1697215373, 'temp': 20.92, 'feels_like': 21.08, 'pressure': 1022, 'humidity': 77, 'dew_point': 16.74, 'clouds': 75, 'visibility': 10000, 'wind_speed': 1.54, 'wind_deg': 260, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]}]",Milan
45.4669,9.19,Europe/Rome,7200,"[{'dt': 1697191200, 'sunrise': 1697175358, 'sunset': 1697215373, 'temp': 21.93, 'feels_like': 22.06, 'pressure': 1022, 'humidity': 72, 'dew_point': 16.66, 'clouds': 75, 'visibility': 10000, 'wind_speed': 1.03, 'wind_deg': 0, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]}]",Milan
45.4669,9.19,Europe/Rome,7200,"[{'dt': 1697194800, 'sunrise': 1697175358, 'sunset': 1697215373, 'temp': 23.46, 'feels_like': 23.58, 'pressure': 1021, 'humidity': 66, 'dew_point': 16.75, 'clouds': 20, 'visibility': 10000, 'wind_speed': 2.06, 'wind_deg': 200, 'weather': [{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]}]",Milan
